auhor and year	concavity	taxonomic_domain	specific_taxa_andor_ecosystem	source of data in the paper	organization_level	scale_with	Generic variable	specific_variable	units		taxonomic_group	comments
yamasaki_fig7b-blackcircles	u	ectotherm	plant_wheat_Triticum aestivum		molecular		activity_u	P700 reduction			prok	other curves not included
yamasaki_fig7b-triangles	u	ectotherm	plant_wheat_Triticum aestivum		molecular		activity_u	P700 reduction			prok	
yamasaki_fig7b-whitecircles	u	ectotherm	plant_wheat_Triticum aestivum		molecular		activity_u	P700 reduction			prok	
Walczynskaâ 2016	tent	ectotherm	Annelida; Aelosoma hemprichi		individual	body size	body size	Body size	um2		prok	
Liu 2013	tent	ectotherm	plant		ecosystem	area	carbon stock		BCDa; carbon stock per area in all living biomass above the soil, including stems, branches, leaves and seeds; Mg C /ha		prok	
ma2015_devrate	tent	ectotherm	aphid		individual	body size	Developmental time				prok	
Jørgensen 1992	tent	bacteria			ecosystem	area	ecosystem flux		individuals×J/ area×s		euk	
ouyang_aoa_as100	tent	archaea		Fig4b, ouyang_aoa_as100	ecosystem	area	ecosystem flux	AOA			euk	other curves not included
ouyang_aoa_as200	tent	archaea		Fig4b, ouyang_aoa_as200	ecosystem	area	ecosystem flux	AOA			euk	
ouyang_aoa_compost	tent	archaea		Fig4b, ouyang_aoa_compost	ecosystem	area	ecosystem flux	AOA			virus	
ouyang_aoa_control	tent	archaea		Fig4b, ouyang_aoa_control	ecosystem	area	ecosystem flux	AOA			euk	other curves not included
ouyang_aob_AS100	tent	bacteria		Fig4a, ouyang_aob_AS100	ecosystem	area	ecosystem flux	AOB			euk	other curves not included
ouyang_aob_AS200	tent	bacteria		Fig4a, ouyang_aob_AS200	ecosystem	area	ecosystem flux	AOB			euk	
ouyang_aob_compost	tent	bacteria		Fig4a, ouyang_aob_compost	ecosystem	area	ecosystem flux	AOB			prok	other curves not included
ouyang_aob_control	tent	bacteria		Fig4a, ouyang_aob_control	ecosystem	area	ecosystem flux	AOB			prok	
Tait and Schiel 2013	tent	ectotherm	full assemblage	fig1a	ecosystem	area	ecosystem flux				euk	other curves not included
Tan et al 2015	tent	ectotherm	plant	fig5b	ecosystem	area	ecosystem flux	light-saturated ecosystem photosynthesis	NEEsat; umol/m2 s		euk	other curves not included
Taylor 2017	tent	archaea		fig1 pendleton cropped AOA	ecosystem	area	ecosystem flux	Ecosystem nitrification	NO2- + NO3- umol/g soil d		prok	
Trytek et al. 2015	tent	unicel euk			ecosystem	area	ecosystem flux				prok	
ma2015_fecundity	tent	ectotherm	aphid		individual	body size	Fecundity		1/day		prok	
Englund 2011	tent	ectotherm	Aphidius matricariae	fig1b	individual	body size	maximum intake rate	functional response; maximum intake rate	dimensionless		prok	
khankhan2010_ADULT_t	u	ectotherm	Insecta; Coccinella Septempunctata	fig1b, Th	individual	body size	handling time	handling rate			euk	
kashefi2003_t	u	archaea	Strain 121; Geogemma barossii		population	body size	Generation time	Generation time	h		prok	other curve
Piette et al. 2011	u	bacteria	Antarctic bacterium PhTAC125	fig1a	population	body size	Generation time		h		prok	
shelobolina2004_t	u	bacteria	Salmonella subterranean		population	body size	Generation time		t-1		euk	
scholtisek_f1-triangle	u	virus		fig1-triangle	cell	body size	latent period	latent period			euk	
scholtisek_square	u	virus		fig1-square	cell	body size	latent period	latent period			euk	
Scholtisek-fig1circle	u	virus		fig1-circle	cell	body size	latent period	latent period			euk	
esechie93_0dSm-1	tent	ectotherm			population	body size	Max germination				euk	
Esechie93_12.2dSm-1	tent	ectotherm	plant		population	body size	Max germination				euk	other curves not included
Esechie93_17.4dSm-1	tent	ectotherm	plant		population	body size	Max germination				euk	
Esechie93_22.6dSm-1	tent	ectotherm	plant		population	body size	Max germination				euk	
Esechie93_27.2dSm-1	tent	ectotherm	plant		population	body size	Max germination				euk	other curves not included
Esechie93_32.1dSm-1	tent	ectotherm	plant		population	body size	Max germination				euk	
Esechie93_37.2dSm-1	tent	ectotherm	plant		population	body size	Max germination				prok	
Esechie93_6.4dSm-1	tent	ectotherm	plant		population	body size	Max germination				prok	
Brylawski	tent	ectotherm	Callinectes sapidus/Atlantic blue crab		individual	body size	Metabolic rate		gO2 /g×d		prok	
Buck and Barnes	u	endotherm			individual	body size	Metabolic rate				euk	
caroselli2015_t	u	ectotherm	Cnidaria; Balanophyllia Europaea	fig5, second plot from up to botton	individual	body size	Metabolic rate	Individual photosynthetic rate	chl a per zoox per cell-1		euk	
Cliffe	tent	endotherm		Bradypus6,3kg	individual	body size	Metabolic rate				euk	
dingha	tent	ectotherm	german cockroache		individual	body size	Metabolic rate				euk	
hoole2018_t	u	endotherm	Mammalia; Crocidura fFlavescens	fig2, second plot from up to botton	individual	body size	Metabolic rate		mWg-1		euk	
Jones and Hough 1970	tent	unicel euk	Fungi; C. cerevisiae	fig3	cell	body size	Metabolic rate		O2 uptake (ul/mg cells hr)		euk	
knoblauch&jorgensen-5b_	tent	bacteria		5b	cell	body size	Metabolic rate				prok	
Knoblauch1999_1_B	tent	bacteria			cell	body size	Metabolic rate		individuals/area×J/s		prok	
Knoblauch1999_2_B	tent	bacteria			cell	body size	Metabolic rate				prok	
Knoblauch1999_4_B	tent	bacteria		4b	cell	body size	Metabolic rate				prok	
porter_kearney_150woodrat_t	tent	ectotherm		150 woodrat	individual	body size	Metabolic rate				prok	
porter_kearney_300woodrat_t	u	endotherm		300 woodrat	individual	body size	Metabolic rate				prok	
rajasekaran&maheshwari1993_A,duponti_T	tent	unicel euk	A.duponti		cell	body size	Metabolic rate				prok	
rajasekaran&maheshwari1993_A,phoenicis_t	tent	unicel euk	A.phoenicis		cell	body size	Metabolic rate				prok	
rajasekaran&maheshwari1993_T,lanuginosus_t	tent	unicel euk	T.lanuginosus		cell	body size	Metabolic rate				euk	other curves not included
rajasekaran&maheshwari1993_T,viride_t	tent	unicel euk	T.viride		cell	body size	Metabolic rate				prok	
Tarpgaard et al, 2006	tent	bacteria		fig3a	cell	body size	Metabolic rate	Sulfate reduction rates	fmol /cell d		euk	
young1996-fig7.1.controls	u	endotherm	human;controls	Fig7.1 controls	individual	body size	Metabolic rate				euk	
young1996-fig7.1.inuits	u	endotherm	human;inuits	Fig7.1 inuits	individual	body size	Metabolic rate				euk	
gutierrez2016	u	ectotherm	Drosophila susukii	FIG2A	population	body size	Mortality rate		d-1		euk	
kirk2018	u	ectotherm	daphnia	fig3a	population	body size	Mortality rate				euk	
Lloy2018 1c	u	ectotherm			population	body size	mutation	Recombination rate			euk	
Lloy2018_1bblue_t	u	ectotherm	Arabidopsis thaliana		population	body size	mutation	Recombination rate			prok	other curves not included
lloyd_1b-red_T	u	ectotherm			population	body size	mutation	Recombination rate			prok	other curves not included
lloy-f1a_t	u	ectotherm	Arabidopsis thaliana		population	body size	mutation	Recombination rate			virus	
smith1936_Nature138.329â..330_t	u	ectotherm	Insecta; Drosophila mMelanogaster		population	body size	mutation	Crossover rate	%		virus	
Molnar 2017	tent	ectotherm	plathelminthes		individual	body size	performance	Swimming speed	Mm/sec		virus	
Isaak and Hubert 2004	tent	ectotherm			population	body size	Population density		individuals/area		virus	
Whittaker and Feldhamer 2005	tent	endotherm	shrew		population	body size	Population density		number of individuals/area		prok	
Franzmann 2005-f5-ferroplasma acidiphilum	tent	archaea		f5 f. acidiphilum	cell	body size	population flux				euk	
Franzmann et al 2005_F. cyprexacerbatum	tent	archaea	F. cyprexacerbatum	fig5 Fcyprexacerbatum	population	body size	population flux	1/time to increase SO4-S to 3000 mgL-1	1/ time to oxidase 2000 (mg/L) Fe2+		prok	
Franzmann et al 2005-Acidianus brierleyi	tent	archaea	Acidianus brierleyi		population	body size	population flux		6/ time to oxidase 2000 (mg/L) Fe2+		euk	other curves not included
Franzmann et al 2005-Acidithiobacillus caldus	tent	bacteria	Acidithiobacillus caldus		population	body size	population flux		4/ time to oxidase 2000 (mg/L) Fe2+		euk	other curves not included
Franzmann et al 2005-Acidithiobacillus ferrooxidans	tent	bacteria	Acidithiobacillus ferrooxidans		population	body size	population flux		2/ time to oxidase 2000 (mg/L) Fe2+		euk	other curves not included
Franzmann et al 2005-Acidithiobacillus thiooxidans	tent	bacteria	Acidithiobacillus thiooxidans		population	body size	population flux		3/ time to oxidase 2000 (mg/L) Fe2+		prok	other curves not included
Franzmann et al 2005-Sulfolobus metallicus	tent	archaea	Sulfolobus metallicus		population	body size	population flux		5/ time to oxidase 2000 (mg/L) Fe2+		prok	other curves not included
Corkrey_Mmusculus_t	tent	endotherm	Corkrey_Mmusculus_t	M, musculus	population	body size	Population growth rate				euk	
corkrey-Archaea_Euryarchaeota_Euryarchaeota_Methanoculleus-submarinus_AN_H_860	tent	archaea	corkrey-Archaea_Euryarchaeota_Euryarchaeota_Methanoculleus-submarinus_AN_H_860		cell	body size	Population growth rate				euk	
corkrey-Bacteria_Bacteria_Firmicutes_Clostridium-thermobutyricum_AN_H_23	tent	bacteria	corkrey-Bacteria_Bacteria_Firmicutes_Clostridium-thermobutyricum_AN_H_23	Bacteria_Bacteria_Proteobacteria_Pseudomonas-putida_A_H_520	population	body size	Population growth rate				euk	
corkrey-Bacteria_Bacteria_Proteobacteria_Pseudomos-putida_A_H_520	tent	bacteria	corkrey-Bacteria_Bacteria_Proteobacteria_Pseudomos-putida_A_H_520		cell	body size	Population growth rate				prok	other curves not included
corkrey-Eukarya_Animalia_Arthropoda_Aleuroglyphus-ovatus_A_H_162	tent	ectotherm	corkrey-Eukarya_Animalia_Arthropoda_Aleuroglyphus-ovatus_A_H_162		population	body size	Population growth rate				euk	
corkrey-Eukarya_Chromista_Foraminifera_Globigerinoides-sacculifer_A_H_824	tent	unicel euk	corkrey-Eukarya_Chromista_Foraminifera_Globigerinoides-sacculifer_A_H_824		cell	body size	Population growth rate				euk	
ma2015_growthrate	tent	ectotherm	aphid		individual	body size	Population growth rate				euk	
Zakhartsev 2015	tent	unicel euk	Fungi	fig3a	population	body size	Population growth rate		1 over h		virus	other curves not included
gaur2017	u	endotherm	human		population	area	Rate of energy use				euk	
Lee2013-fig4-left	u	endotherm	human	see here for example that huaman energy use scale with area: https://doi.org/10.1016/j.heliyon.2019.e01427 .	population	area	Rate of energy use				euk	
Brock 1978	tent	bacteria	cyanobacteria		community	area	Richness		number of morphotypes		euk	other curves not included
Hingamp et al 2013	tent	virus		from Table 1 and Supplementary File 1 ismej201359x7.txt	community	area	Richness				euk	
Li-et-al-2015_AOA	tent	archaea	AOA	Table 3	community	area	Richness				euk	
Li-et-al-2015_archaea	tent	archaea	archaea	Table 3	community	area	Richness				euk	
mccainandsanders2010_fig2i	tent	ectotherm	salamanders central america	FIG2F	community	area	Richness		number of species		euk	other curves not included
mccaindsanders2010_fig2f	tent	ectotherm	salamanders sierra madre oriental	fig2I	community	area	Richness				euk	other curves not included
Milici2016_FL	tent	bacteria		FL	community	area	Richness				euk	other curves not included
Milici2016_LPA	tent	bacteria		LPA	community	area	Richness				euk	other curves not included
Milici2016_SPA	tent	bacteria		SPA	community	area	Richness					
Pan 2006	tent	endotherm	birds		community	area	Richness		number of species			
Talley2002_meanT	tent	unicel euk	Fungi	Table 1	community	area	Richness					
terentev63_f3center-birds_T	tent	endotherm	birds	fig3center	community	area	Richness					
terentev63_f3left-mammals_T	tent	endotherm	mammals	fig3left	community	area	Richness					
terentev63_f3right-reptiles_T	tent	ectotherm	reptiles	fig3right	community	area	Richness					
Yasuhara 2012	tent	ectotherm	cold sst, Modern planktic foraminiferal	Yasuhara, Moriaki; Hunt, Gene; Dowsett, Harry J.; Robinson, Marci M.; Stoll, Danielle K. (2012): Modern planktic foraminiferal diversity dataset. Dryad. Dataset. https://doi.org/10.5061/dryad.dc139/3	community	area	Richness		number of species			
Rousseletal2015_archaea	tent	archaea		Fig3b-archaea	community	area	Total community abundance		16S reads/ml			
Rousseletal2015_bacteria	tent	bacteria		Fig3b-bacteria	community	area	Total community abundance		16S reads/ml			
sunagawa	tent	bacteria		SOM	community	area	Total community abundance					
Winter et al 2008	tent	virus			community	area	Total community abundance		N×106 ml-1			
yamasaki_fig6a-25C-blackcircles	u	ectotherm	plant_wheat_Triticum aestivum		molecular		activity_u	fluorescent decay			prok	
